id,date,latitude,longitude,timestamp,temp,feels_like,humidity,pressure,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,snow_1h,elevation,errors
2293,05-05-2024,30.137,-95.7948,1714885200,23.82,24.56,88,1012,2.91,145,0,100,4.21,0,77,[]
2294,06-05-2024,30.137,-95.7948,1714971600,21.69,22.4,95,1012,3.08,112,0,37,0,0,77,[]
2295,07-05-2024,30.137,-95.7948,1715058000,25.28,26.24,91,1007,0.89,140,1.34,100,0,0,77,[]
2296,08-05-2024,30.137,-95.7948,1715144400,24.71,25.61,91,1005,1.34,155,1.79,100,0,0,77,[]
2297,09-05-2024,30.137,-95.7948,1715230800,25.05,26.01,92,1005,2.45,155,0,84,0,0,77,[]
2298,10-05-2024,30.137,-95.7948,1715317200,25.85,26.71,85,1009,1.34,183,1.34,98,0,0,77,[]
2299,11-05-2024,30.137,-95.7948,1715403600,21.89,22.25,81,1014,2.61,46,0,89,0,0,77,[]
2300,12-05-2024,30.137,-95.7948,1715490000,20.85,21.26,87,1013,1.34,52,1.34,98,0.62,0,77,[]
2301,13-05-2024,30.137,-95.7948,1715576400,22.76,23.62,97,1007,2.3,180,0,100,6.12,0,77,[]
2302,14-05-2024,30.137,-95.7948,1715662800,18.3,18.69,96,1007,1.74,306,0,0,0,0,77,[]
2303,15-05-2024,30.137,-95.7948,1715749200,19.22,19.63,93,1010,1.79,123,0,0,0,0,77,[]
2304,16-05-2024,30.137,-95.7948,1715835600,24.01,24.66,84,1009,0.45,123,0.45,54,0,0,77,[]
2305,01-05-2024,30.82,-95.13,1714539600,22.53,23.01,83,1012,3.12,142,0,47,0,0,52,[]
2306,02-05-2024,30.82,-95.13,1714626000,23.78,24.43,85,1010,3.91,122,0,100,1.39,0,52,[]
2307,03-05-2024,30.82,-95.13,1714712400,22.98,23.63,88,1009,3.53,148,0,38,0,0,52,[]
2308,04-05-2024,30.82,-95.13,1714798800,21.07,21.48,86,1014,2.01,83,0,91,0,0,52,[]
2309,05-05-2024,30.82,-95.13,1714885200,23.98,24.76,89,1013,3.82,108,0,100,1.12,0,52,[]
